1,1,1
1,2,1
1,6,1
1,8,1
1,9,0
1,11,0
1,12,0
1,18,0
1,19,0
1,20,0
1,21,1
1,22,1
1,24,0
2,1,1
2,2,0
2,3,0
2,5,1
2,8,0
2,10,0
2,11,1
2,12,0
2,13,0
2,14,1
2,17,0
2,18,0
2,20,0
2,24,0
3,3,0
3,5,1
3,6,1
3,8,0
3,9,1
3,13,0
3,15,1
3,18,1
3,19,1
3,22,0
3,23,0
3,25,1
4,2,0
4,3,1
4,4,1
4,7,1
4,11,1
4,12,0
4,14,0
4,16,0
4,17,0
4,18,0
4,19,0
4,20,0
4,22,0
4,23,0
5,1,0
5,3,1
5,4,1
5,6,1
5,8,1
5,9,1
5,11,0
5,12,1
5,13,1
5,15,1
5,16,0
5,17,1
5,19,0
5,24,1
6,1,1
6,3,0
6,6,0
6,8,0
6,10,1
6,16,0
6,18,0
6,19,0
6,20,0
6,23,1
6,24,0
7,2,1
7,3,0
7,4,0
7,5,0
7,9,0
7,10,0
7,14,1
7,16,0
7,17,0
7,18,0
7,21,0
7,22,1
8,1,0
8,2,0
8,4,1
8,5,1
8,7,0
8,9,1
8,10,0
8,12,0
8,14,1
8,16,0
8,17,0
8,18,0
9,2,0
9,5,0
9,6,0
9,12,0
9,14,0
9,16,0
9,19,0
9,20,0
9,22,0
9,23,0
9,24,1
9,25,0
10,2,0
10,5,1
10,6,1
10,7,0
10,8,0
10,9,1
10,10,1
10,11,0
10,12,0
10,13,1
10,16,0
10,21,1
10,24,0
10,25,0
11,2,1
11,5,0
11,6,0
11,10,1
11,12,0
11,14,0
11,15,0
11,16,0
11,19,0
11,21,0
11,23,0
11,24,0
11,25,0
12,2,1
12,3,1
12,4,1
12,7,0
12,11,1
12,15,0
12,16,0
12,17,0
12,19,0
12,20,1
12,21,0
12,24,1
13,1,0
13,3,1
13,5,0
13,7,0
13,8,1
13,13,0
13,14,0
13,15,0
13,16,1
13,19,1
13,21,0
13,22,0
13,23,0
13,25,0
14,1,0
14,2,1
14,5,1
14,6,1
14,10,0
14,11,0
14,12,0
14,14,1
14,16,0
14,21,0
14,25,0
15,1,1
15,2,1
15,3,1
15,7,0
15,8,1
15,9,0
15,10,0
15,16,0
15,17,1
15,20,0
15,21,1
15,22,0
15,25,0
16,1,1
16,2,0
16,4,0
16,8,0
16,9,0
16,14,0
16,16,0
16,17,1
16,19,0
16,20,0
16,21,1
17,1,1
17,2,1
17,4,0
17,5,1
17,6,0
17,9,0
17,10,0
17,11,1
17,17,1
17,18,0
17,19,0
17,20,0
17,21,0
18,2,0
18,3,1
18,4,1
18,5,0
18,7,0
18,10,0
18,11,1
18,12,0
18,14,0
18,15,1
18,18,0
18,19,0
18,22,1
18,23,1
19,5,1
19,6,0
19,7,1
19,12,1
19,14,1
19,15,1
19,22,0
19,23,1
19,24,1
19,25,0
20,1,1
20,2,1
20,5,0
20,6,0
20,7,1
20,10,1
20,11,0
20,12,0
20,14,0
20,18,0
20,19,0
20,22,0
20,24,0
21,1,1
21,4,0
21,6,0
21,11,0
21,12,1
21,13,1
21,15,0
21,16,0
21,17,0
21,19,0
21,21,0
22,1,1
22,2,0
22,5,0
22,8,1
22,10,1
22,11,0
22,13,1
22,16,0
22,18,0
22,19,0
22,20,1
22,21,0
22,22,0
22,25,0
23,1,1
23,2,1
23,4,0
23,5,0
23,9,0
23,10,0
23,12,1
23,13,1
23,15,1
23,18,0
23,21,1
23,22,0
23,25,1
24,1,1
24,6,0
24,9,1
24,10,0
24,11,0
24,13,0
24,19,0
24,21,1
24,22,1
